iter	Passed	Remaining
0	212	212571
1	213	106781
2	214	71431
3	216	53785
4	217	43191
5	217	36099
6	218	31037
7	219	27263
8	220	24306
9	221	21922
10	222	19971
11	222	18350
12	223	16978
13	224	15803
14	229	15091
15	230	14188
16	231	13391
17	232	12694
18	233	12070
19	234	11499
20	235	10974
21	236	10497
22	236	10063
23	237	9664
24	238	9295
25	239	8954
26	245	8847
27	246	8556
28	247	8289
29	248	8041
30	250	7818
31	250	7589
32	251	7373
33	252	7174
34	253	6984
35	254	6801
36	261	6794
37	262	6657
38	263	6502
39	265	6375
40	266	6238
41	267	6100
42	268	5969
43	268	5843
44	269	5722
45	272	5650
46	274	5568
47	275	5467
48	276	5367
49	277	5271
50	278	5182
51	279	5092
52	281	5025
53	282	4943
54	282	4861
55	283	4781
56	284	4704
57	285	4629
58	291	4653
59	292	4586
60	293	4519
61	294	4455
62	295	4400
63	296	4343
64	297	4282
65	298	4223
66	299	4168
67	300	4112
68	300	4058
69	301	4005
70	304	3980
71	305	3937
72	306	3891
73	307	3848
74	308	3803
75	309	3758
76	309	3712
77	310	3668
78	310	3625
79	311	3582
80	312	3541
81	312	3501
82	313	3459
83	313	3420
84	314	3383
85	319	3400
86	320	3366
87	321	3331
88	322	3296
89	322	3262
90	323	3229
91	323	3196
92	324	3165
93	325	3135
94	325	3104
95	326	3074
96	327	3045
97	327	3016
98	328	2988
99	328	2960
100	329	2933
101	333	2934
102	334	2913
103	335	2887
104	335	2862
105	336	2838
106	337	2814
107	337	2790
108	338	2766
109	339	2743
110	339	2720
111	340	2698
112	340	2676
113	341	2654
114	342	2633
115	343	2614
116	343	2593
117	344	2573
118	344	2553
119	348	2557
120	349	2539
121	350	2519
122	350	2501
123	351	2483
124	352	2465
125	353	2451
126	354	2433
127	354	2416
128	355	2399
129	355	2382
130	356	2365
131	357	2349
132	357	2333
133	358	2317
134	359	2301
135	359	2286
136	362	2284
137	364	2275
138	365	2261
139	365	2246
140	366	2231
141	366	2216
142	367	2202
143	368	2188
144	368	2174
145	369	2160
146	370	2147
147	370	2134
148	371	2121
149	372	2108
150	372	2095
151	373	2082
152	373	2070
153	374	2057
154	375	2045
155	380	2057
156	380	2045
157	381	2033
158	382	2021
159	382	2010
160	383	1997
161	384	1986
162	384	1975
163	385	1964
164	386	1954
165	386	1944
166	387	1933
167	388	1923
168	389	1913
169	389	1903
170	390	1893
171	394	1899
172	395	1889
173	396	1880
174	396	1871
175	397	1861
176	398	1852
177	399	1843
178	399	1834
179	400	1825
180	401	1816
181	402	1807
182	402	1798
183	403	1789
184	404	1781
185	405	1772
186	405	1764
187	411	1777
188	412	1769
189	413	1760
190	413	1752
191	414	1745
192	415	1738
193	416	1730
194	417	1722
195	418	1714
196	418	1706
197	419	1698
198	420	1690
199	420	1683
200	421	1675
201	427	1687
202	427	1680
203	428	1673
204	429	1666
205	430	1659
206	431	1651
207	431	1644
208	432	1637
209	433	1630
210	433	1622
211	434	1615
212	435	1608
213	436	1602
214	436	1595
215	440	1600
216	441	1594
217	442	1588
218	443	1581
219	444	1577
220	446	1572
221	447	1566
222	447	1560
223	448	1553
224	449	1547
225	449	1541
226	450	1534
227	451	1528
228	452	1522
229	452	1516
230	456	1520
231	458	1516
232	459	1512
233	460	1507
234	461	1501
235	462	1496
236	463	1493
237	464	1487
238	465	1481
239	465	1475
240	466	1469
241	467	1463
242	467	1457
243	473	1468
244	476	1467
245	476	1461
246	477	1456
247	478	1450
248	479	1444
249	479	1439
250	480	1433
251	481	1428
252	482	1423
253	482	1418
254	483	1412
255	487	1416
256	488	1412
257	489	1407
258	489	1401
259	490	1396
260	491	1391
261	492	1386
262	492	1380
263	493	1375
264	493	1369
265	494	1364
266	495	1359
267	495	1354
268	496	1348
269	496	1343
270	497	1338
271	498	1333
272	498	1328
273	504	1335
274	504	1331
275	505	1326
276	506	1321
277	506	1316
278	507	1311
279	507	1306
280	508	1301
281	509	1296
282	509	1291
283	510	1286
284	511	1282
285	511	1277
286	512	1272
287	512	1268
288	513	1263
289	514	1258
290	519	1265
291	520	1261
292	521	1258
293	522	1254
294	523	1251
295	524	1247
296	525	1243
297	526	1239
298	526	1235
299	527	1230
300	528	1226
301	528	1221
302	533	1226
303	534	1223
304	535	1219
305	535	1215
306	536	1211
307	537	1206
308	537	1202
309	538	1198
310	539	1194
311	539	1189
312	540	1185
313	540	1181
314	541	1177
315	542	1173
316	542	1169
317	543	1165
318	543	1161
319	547	1163
320	548	1161
321	549	1157
322	550	1153
323	551	1149
324	551	1146
325	552	1142
326	553	1138
327	553	1134
328	554	1130
329	555	1127
330	555	1123
331	556	1119
332	557	1115
333	557	1112
334	558	1108
335	559	1104
336	564	1110
337	565	1106
338	566	1103
339	566	1100
340	567	1097
341	569	1095
342	570	1092
343	571	1089
344	571	1085
345	572	1082
346	573	1079
347	574	1075
348	577	1076
349	579	1076
